"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.179806700E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
6.180783200E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
7.187863300E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
8.277340800E-2,0.000000000E0,0.000000000E0,-0.000000000E0,0.000000000E0
9.202023500E-2,4.486083984E-3,-3.593444824E-3,-3.142547607E-2,3.194680487E-2
1.021215530E-1,4.486083984E-3,-3.593444824E-3,-3.142547607E-2,3.194680487E-2
1.121618360E-1,-4.191100597E-3,-1.195281744E-3,3.132629395E-2,3.162800523E-2
1.222326370E-1,-1.257324219E-2,-1.167678833E-2,1.272583008E-2,2.136306523E-2
1.324560260E-1,-5.206823349E-3,-3.189712763E-3,2.463340759E-3,6.584324156E-3
1.423742390E-1,7.488131523E-4,3.288686275E-3,4.121780396E-3,5.325903884E-3
1.524450390E-1,-3.907680511E-3,-3.019869328E-4,8.026123047E-3,8.931954671E-3
1.625463580E-1,-2.612173557E-3,-6.073981524E-3,5.442619324E-3,8.563807993E-3
1.725866410E-1,9.629011154E-3,-2.405226231E-3,1.046848297E-2,1.442539791E-2
1.825964070E-1,-5.161881447E-3,-8.107125759E-3,-5.500793457E-3,1.107380860E-2
1.926366900E-1,3.683269024E-3,-4.945844412E-3,-4.152297974E-3,7.434341000E-3
2.027990430E-1,1.050782204E-2,5.632638931E-3,1.912879944E-2,2.254000695E-2
2.129003620E-1,8.944869041E-4,3.719121218E-3,2.870559692E-3,4.782476597E-3
2.229711620E-1,6.071448326E-3,-6.243199110E-3,-1.111984253E-2,1.412412538E-2
2.330114460E-1,1.050060987E-2,-8.350878954E-3,7.761955261E-3,1.549993344E-2
2.431127640E-1,1.477479935E-3,-5.499422550E-4,2.197360992E-2,2.203009116E-2
2.531530470E-1,6.635010242E-3,-1.672729850E-2,5.045890808E-3,1.868921855E-2
2.632543660E-1,1.682746410E-2,5.232751369E-3,-1.016712189E-2,2.034491589E-2
2.732946490E-1,-6.876468658E-3,7.374107838E-3,-3.471374512E-3,1.066366394E-2
2.842199420E-1,2.516883612E-2,4.812538624E-3,1.226520538E-2,2.840890886E-2
2.934362500E-1,-1.704156399E-3,1.043418050E-2,9.540557861E-3,1.424073439E-2
3.035070510E-1,3.559470177E-3,1.934948564E-2,5.181312561E-3,2.034498518E-2
3.136083690E-1,1.715064049E-3,6.550371647E-3,-4.254341125E-3,7.996763834E-3
3.236486530E-1,-4.714190960E-3,-6.152987480E-4,-1.163482666E-2,1.256866661E-2
3.337194530E-1,4.116058350E-3,3.461509943E-3,-2.431869507E-4,5.383597990E-3
3.437902540E-1,-1.227974892E-3,1.896655560E-2,2.080917358E-3,1.911984233E-2
3.538610550E-1,3.444492817E-3,1.370278001E-2,-6.676673889E-3,1.562717777E-2
3.639318560E-1,4.494965076E-3,2.540016174E-2,-1.801776886E-2,3.146447079E-2
3.740331740E-1,-5.493223667E-3,1.877143979E-2,4.560470581E-3,2.008333513E-2
3.841039750E-1,5.678772926E-3,1.119840145E-2,1.713752747E-2,2.124494068E-2
3.941442580E-1,-6.664633751E-3,1.777243614E-2,6.153106689E-3,1.995338446E-2
4.042150590E-1,-8.758246899E-3,1.890578866E-2,-5.616188049E-3,2.157955750E-2
4.142858600E-1,-2.669513226E-3,8.451998234E-3,7.300376892E-3,1.148294726E-2
4.244176960E-1,3.104805946E-4,4.689216614E-3,-1.630783081E-3,4.974394848E-3
4.351598830E-1,8.754134178E-4,2.710065246E-2,-1.576423645E-3,2.716057480E-2
4.444982620E-1,3.737270832E-3,2.330628037E-2,-3.585815430E-4,2.360674647E-2
4.545690630E-1,-1.143246889E-2,1.443156600E-2,1.238250732E-2,2.218778785E-2
4.646398640E-1,-1.162666082E-2,1.796364784E-3,3.281593323E-3,1.221372274E-2
4.747411820E-1,-7.182836533E-3,5.792766809E-3,-8.392333984E-3,1.247319356E-2
4.856969920E-1,-9.259164333E-3,8.490711451E-3,-3.480911255E-3,1.303614392E-2
4.950048540E-1,-7.224738598E-3,4.151403904E-3,9.940147400E-3,1.297064118E-2
5.051366900E-1,-2.352356911E-3,1.559188962E-2,2.117252350E-2,2.639917340E-2
5.152685260E-1,2.318483591E-2,1.177519560E-3,4.271507263E-3,2.360442634E-2
5.253698440E-1,3.325283527E-3,-5.219042301E-3,-1.034069061E-2,1.205096658E-2
5.357458210E-1,-8.364439011E-3,-1.084187627E-2,-7.333755493E-4,1.371305804E-2
5.456335160E-1,-5.769848824E-3,-1.857832074E-2,9.129524231E-3,2.148937807E-2
5.557348340E-1,-9.043812752E-3,-8.695930243E-3,1.055145264E-2,1.639337990E-2
5.661108110E-1,-7.591843605E-3,-7.255554199E-3,1.888751984E-2,2.161058911E-2
5.759679890E-1,1.002216339E-2,-7.013708353E-3,3.787994385E-3,1.280565365E-2
5.861608600E-1,9.112834930E-3,-1.430249214E-2,-6.176948547E-3,1.804881534E-2
5.965063190E-1,-2.769827843E-3,-5.137890577E-3,-7.638931274E-4,5.886713733E-3
6.063940140E-1,-2.677500248E-3,-7.282406092E-3,1.893806458E-2,2.046589201E-2
6.165563670E-1,1.468062401E-3,-9.355425835E-3,1.945686340E-2,2.163905574E-2
6.266882030E-1,-5.528211594E-3,-1.250985265E-2,-7.801055908E-3,1.574528533E-2
6.368200390E-1,6.810188293E-3,-1.103997231E-3,-8.116722107E-3,1.065263593E-2
6.469518750E-1,-3.830432892E-3,8.332729340E-5,4.882812500E-3,6.206530229E-3
6.570837110E-1,-1.122534275E-2,-1.843091846E-2,7.611274719E-3,2.288315052E-2
6.672155470E-1,7.129907608E-4,-2.244809270E-2,-1.231956482E-2,2.561634047E-2
6.773473830E-1,4.170238972E-3,-1.301199198E-2,-8.427619934E-3,1.605389691E-2
6.882726760E-1,-1.217919588E-2,-3.905177116E-3,-5.830764771E-3,1.405635224E-2
6.975805370E-1,4.437208176E-3,1.127016544E-2,1.808166504E-2,2.176354879E-2
7.077123730E-1,3.124058247E-3,1.631379128E-3,1.399803162E-2,1.443488922E-2
7.178442090E-1,-2.186894417E-3,-1.345342398E-2,5.434036255E-3,1.467330481E-2
7.279760450E-1,-5.005002022E-3,6.657004356E-3,-2.309703827E-2,2.455277844E-2
7.381078810E-1,-7.153928280E-3,3.544062376E-3,-2.650260925E-3,8.412071738E-3
7.482397170E-1,9.870231152E-3,5.348920822E-4,2.404785156E-2,2.600012956E-2
7.586462110E-1,1.417279243E-2,1.613748074E-2,-6.829261780E-3,2.253719473E-2
7.687780470E-1,1.311033964E-2,1.154327393E-2,-2.744388580E-2,3.253144704E-2
7.785436720E-1,-2.357065678E-3,4.225909710E-3,-5.111694336E-3,7.038713694E-3
7.886144730E-1,-8.075296879E-3,4.660308361E-3,1.010417938E-2,1.374857573E-2
7.986852740E-1,5.498528481E-3,3.929704428E-3,3.970146179E-3,7.838268497E-3
8.088476270E-1,1.084208488E-4,1.189655066E-2,-1.178264618E-2,1.674426539E-2
8.171484080E-1,1.084208488E-4,1.189655066E-2,-1.178264618E-2,1.674426539E-2
8.271886920E-1,-4.704594612E-4,2.654516697E-2,-1.370525360E-2,2.987810566E-2
8.372594920E-1,-3.921091557E-3,2.681085467E-2,1.337528229E-2,3.021746289E-2
8.473302930E-1,-4.365622997E-3,4.583895206E-4,2.276802063E-2,2.318731439E-2
8.574010940E-1,-1.348322630E-2,5.649924278E-3,2.141952515E-2,2.593289597E-2
8.675024120E-1,-6.676435471E-3,1.420050859E-3,-1.574230194E-2,1.715842083E-2
8.775732130E-1,1.438808441E-2,6.004273891E-3,-1.925945282E-2,2.477891848E-2
8.884679890E-1,7.536411285E-3,1.042091846E-2,-5.312919617E-3,1.391474583E-2
8.976842970E-1,-4.278957844E-3,1.470509171E-2,-8.027076721E-3,1.729112961E-2
9.077550980E-1,-9.477138519E-5,8.432865143E-3,-8.924484253E-3,1.227878721E-2
9.178258990E-1,4.836320877E-4,5.835980177E-3,2.951622009E-3,6.557792091E-3
9.279272170E-1,1.057505608E-3,2.175152302E-3,7.470130920E-3,7.851908151E-3
9.379980180E-1,7.379591465E-3,-2.528905869E-3,1.127719879E-2,1.371236477E-2
9.480383010E-1,8.874118328E-3,-5.910903215E-3,-3.568649292E-3,1.124384323E-2
9.581091020E-1,7.413029671E-3,-6.879150867E-3,-1.732921600E-2,2.006433285E-2
9.681799030E-1,-9.319186211E-4,1.448005438E-3,-9.803771973E-3,9.953850358E-3
9.782507030E-1,1.182854176E-2,1.123809814E-2,1.250076294E-2,2.055427751E-2
9.883520220E-1,-7.652461529E-3,-4.181683064E-3,2.835273743E-3,9.169810134E-3
9.983923050E-1,-5.081593990E-3,-8.083850145E-3,-9.413719177E-3,1.340855471E-2
1.008463106E0,1.185870171E-2,7.216036320E-3,-5.633354187E-3,1.498114367E-2
1.018533907E0,6.831884384E-3,-5.163878202E-3,-1.389503479E-3,8.675886251E-3
1.028604707E0,-2.347141504E-2,-3.601908684E-4,1.716804504E-2,2.908227694E-2
1.038675508E0,-1.286566257E-3,-1.018655300E-2,-5.971908569E-3,1.187791256E-2
1.048746309E0,-1.223254204E-2,-2.778318524E-2,-1.502132416E-2,3.387005531E-2
1.058847627E0,-2.606511116E-4,-7.770359516E-3,1.034832001E-2,1.294349848E-2
1.068796358E0,-2.567708492E-3,-1.618444920E-2,5.386352539E-3,1.724941496E-2
1.078989229E0,-7.416009903E-4,-2.915591002E-3,5.782127380E-3,6.517947527E-3
1.089853487E0,4.336237907E-4,5.279421806E-3,1.022052765E-2,1.151171185E-2
1.099100313E0,4.475474358E-3,-8.201211691E-3,8.139610291E-3,1.239124689E-2
1.109171114E0,-3.052353859E-4,-3.455188870E-2,-9.492874146E-3,3.583351561E-2
1.119241914E0,1.128381491E-2,-1.487395167E-2,-3.115463257E-2,3.632038061E-2
1.129312715E0,1.958078146E-2,-4.554539919E-3,-8.713722229E-3,2.191072321E-2
1.139383516E0,9.665012360E-3,2.288222313E-4,5.456924438E-3,1.110147953E-2
1.149454317E0,-8.593380451E-3,1.180008054E-2,1.511383057E-2,2.101228123E-2
1.159525117E0,-5.401134491E-3,6.775200367E-3,4.196166992E-3,9.627222405E-3
1.169626436E0,2.301514149E-3,-8.495807648E-3,1.157855988E-2,1.454437224E-2
1.179666719E0,1.725518703E-2,3.366261721E-3,2.040863037E-4,1.758166229E-2
1.189737520E0,3.375351429E-3,1.018664241E-2,-1.947975159E-2,2.224008549E-2
1.199808321E0,5.003333092E-3,1.390337944E-2,-3.210067749E-3,1.512090728E-2
1.209879121E0,-1.078385115E-2,-1.605242491E-3,3.844261169E-3,1.156056197E-2
1.219980440E0,-1.042437553E-2,7.640421391E-4,8.347511292E-3,1.337655824E-2
1.230020723E0,3.367066383E-4,-6.208747625E-3,2.252483368E-2,2.336728591E-2
1.240122041E0,1.247960329E-2,-7.152289152E-3,2.687454224E-3,1.463277652E-2
1.250162325E0,-9.053945541E-5,-2.872347832E-3,-7.815361023E-3,8.326971081E-3
1.260233125E0,-2.978563309E-3,1.400908828E-2,-1.854419708E-2,2.343104008E-2
1.270303926E0,5.869865417E-4,2.553254366E-3,-1.156902313E-2,1.186195419E-2
1.280405244E0,-1.505297422E-2,3.043413162E-3,1.253509521E-2,1.982379905E-2
1.291269502E0,-1.166015863E-2,8.148759604E-3,1.443290710E-2,2.026500407E-2
1.300516328E0,1.129627228E-2,1.771548390E-2,-2.819061279E-3,2.119885006E-2
1.310587129E0,8.603930473E-3,8.437126875E-3,-3.049945831E-2,3.279374463E-2
1.320688448E0,-4.987537861E-3,7.005363703E-3,-1.732826233E-2,1.934474941E-2
1.330759248E0,1.426541805E-2,3.997683525E-4,1.217460632E-2,1.875854488E-2
1.340830049E0,-1.802617311E-2,9.074300528E-3,2.160739899E-2,2.956629057E-2
1.350900850E0,-1.279377937E-2,-8.013874292E-3,7.567405701E-3,1.688693580E-2
1.360941133E0,-7.750511169E-3,-7.994174957E-4,-1.933097839E-3,8.027848963E-3
1.371011934E0,-1.038318872E-2,1.310712099E-2,-1.633834839E-2,2.337838439E-2
1.381113252E0,5.008101463E-3,1.556125283E-2,5.033493042E-3,1.710466960E-2
1.391153535E0,4.265904427E-3,1.735833287E-2,1.876068115E-2,2.591279255E-2
1.401224336E0,-9.756207466E-3,1.159310341E-3,1.235294342E-2,1.578362429E-2
1.411295137E0,-1.580309868E-2,-5.811899900E-3,-1.757431030E-2,2.433870356E-2
1.421365938E0,-1.181006432E-2,-5.042910576E-3,-1.467227936E-2,1.949831654E-2
1.431436739E0,-1.578032970E-3,5.538791418E-3,1.763248444E-2,1.854920230E-2
1.441507539E0,-7.307469845E-3,9.395718575E-3,1.999855042E-3,1.206971678E-2
1.451578340E0,2.774477005E-3,-6.537884474E-3,-1.368713379E-2,1.542009362E-2
1.461649141E0,1.516759396E-3,-5.729943514E-3,-2.711105347E-2,2.775143297E-2
1.471719942E0,-1.009792089E-2,-1.076051593E-2,1.566886902E-3,1.483953652E-2
1.481790742E0,-8.020818233E-3,-1.386812329E-2,2.234172821E-2,2.749202045E-2
1.492685518E0,-3.136634827E-3,-1.012086868E-4,1.175880432E-2,1.217038209E-2
1.501932344E0,4.489421844E-4,5.698978901E-3,1.136684418E-2,1.272340584E-2
1.512003145E0,2.009594440E-2,1.244157553E-2,-2.082824707E-2,3.150326426E-2
1.522073946E0,1.017773151E-2,2.778500319E-3,-3.362655640E-3,1.107310868E-2
1.532144746E0,6.357431412E-3,-1.370400190E-3,7.163047791E-3,9.674925555E-3
1.542215547E0,-2.117753029E-4,-1.926091313E-2,7.499694824E-3,2.067058407E-2
1.552286348E0,-4.261016846E-3,-3.481456637E-2,-6.629943848E-3,3.569546822E-2
1.562357149E0,5.125403404E-4,-2.413243055E-3,-8.725166321E-3,9.067246934E-3
1.572427950E0,9.183287621E-3,1.675391197E-2,5.460739136E-3,1.987073249E-2
1.582498750E0,-3.276944160E-3,1.272916794E-2,2.957248688E-2,3.236204659E-2
1.592569551E0,-8.949756622E-3,-6.206601858E-3,1.528167725E-2,1.876565239E-2
1.602640352E0,-4.034638405E-3,-3.203374147E-2,-1.185131073E-2,3.439320378E-2
1.612711153E0,-3.900170326E-3,-3.270646930E-2,-1.086616516E-2,3.468426167E-2
1.622781953E0,4.342436790E-3,-1.599583030E-2,-1.513576508E-2,2.244581762E-2
1.632852754E0,1.113027334E-2,1.173666120E-2,1.545906067E-2,2.237442195E-2
1.642862520E0,1.307505369E-2,2.696585655E-2,1.320362091E-2,3.274828322E-2
1.653024873E0,-2.981185913E-3,3.296136856E-5,-1.037979126E-2,1.079947325E-2
1.663065157E0,2.324998379E-3,6.071329117E-4,9.546279907E-4,2.585641590E-3
1.673166475E0,1.671743393E-2,-2.892819047E-2,-3.708839417E-3,3.361648838E-2
1.683206758E0,1.095336676E-2,-4.069331288E-2,-2.672863007E-2,4.990332275E-2
1.694162569E0,7.697224617E-3,2.315956354E-2,-1.194286346E-2,2.717065767E-2
1.703348360E0,1.842951775E-2,3.511697054E-2,3.499984741E-3,3.981329724E-2
1.713419160E0,1.492416859E-2,2.931484580E-2,2.595138550E-2,4.189946780E-2
1.723489961E0,1.268619299E-2,6.345182657E-3,1.928997040E-2,2.394376314E-2
1.733560762E0,-2.206563950E-3,-2.236366272E-4,-6.812095642E-3,7.164048076E-3
1.743631563E0,4.239082336E-3,-9.479284286E-3,-2.509689331E-2,2.716027804E-2
1.753702364E0,-1.109004021E-3,-6.847530603E-3,-6.323814392E-3,9.386649762E-3
1.763773164E0,7.849931717E-5,4.369586706E-3,5.465507507E-3,6.997944158E-3
1.773874483E0,1.454579830E-2,1.869383454E-2,1.569652557E-2,2.841514760E-2
1.783914766E0,1.695197821E-2,9.397625923E-3,-1.491737366E-2,2.445839273E-2
1.793985567E0,6.548523903E-3,-2.494513988E-3,-1.326942444E-2,1.500611176E-2
1.804056367E0,-1.623749733E-2,-4.727125168E-3,-1.108646393E-2,2.022156558E-2
1.814157686E0,-7.583677769E-3,-6.885319948E-3,-1.186752319E-2,1.567666757E-2
1.824228487E0,1.917481422E-3,-8.589923382E-4,4.723548889E-3,5.169769526E-3
1.834268770E0,-1.260161400E-2,2.403840423E-2,3.991127014E-3,2.743309403E-2
1.844339571E0,-1.970416307E-2,1.862031221E-2,1.484680176E-2,3.090950650E-2
1.854410371E0,-1.037424803E-2,6.996005774E-3,1.492691040E-2,1.947772505E-2
1.864511690E0,-1.176893711E-2,2.131253481E-3,-1.045417786E-2,1.588521189E-2
1.874551973E0,-9.060859680E-3,-4.872351885E-3,-1.068115234E-2,1.482990244E-2
1.884622774E0,-2.148824930E-2,-1.801458001E-2,1.829147339E-3,2.810010198E-2
1.895639619E0,-4.561543465E-3,1.672625542E-3,1.768112183E-3,5.170258763E-3
1.904764375E0,-1.193207502E-2,1.260575652E-2,-1.159572601E-2,2.087439517E-2
1.914865694E0,1.770317554E-3,4.087716341E-3,9.450912476E-4,4.553750827E-3
1.924936494E0,1.386541128E-2,-4.146367311E-3,-3.718376160E-3,1.494216561E-2
1.934976778E0,-3.957688808E-3,-8.639693260E-3,-5.334854126E-3,1.089808556E-2
1.945078096E0,-5.566298962E-3,-1.979619265E-3,-1.442050934E-2,1.558376290E-2
1.955148897E0,2.141833305E-3,3.293186426E-3,-1.972198486E-2,2.010943096E-2
1.965219698E0,-4.286885262E-3,-2.976357937E-4,-1.906490326E-2,1.954319597E-2
1.975259981E0,-1.109129190E-2,-6.069779396E-3,4.137992859E-3,1.330345680E-2
1.985361299E0,-2.623736858E-3,6.861925125E-3,3.003406525E-2,3.091949364E-2
1.995432100E0,-2.047246695E-2,1.647156477E-2,8.781433105E-3,2.770465514E-2
2.005502901E0,-2.094054222E-2,2.027869225E-3,-1.059818268E-2,2.355716533E-2
2.015543184E0,1.159965992E-3,-4.397034645E-3,4.799842834E-3,6.611953267E-3
2.025613985E0,9.219110012E-3,-1.523932815E-2,-1.156806946E-3,1.784845411E-2
2.035715303E0,1.007705927E-2,3.138184547E-4,-1.693725586E-3,1.022322414E-2
2.045786104E0,9.151160717E-3,2.344635129E-2,1.340770721E-2,2.851739371E-2
2.055826387E0,-9.775161743E-4,1.822829247E-3,2.453994751E-2,2.462696222E-2
2.065897188E0,-2.110183239E-3,1.762062311E-3,2.140617371E-2,2.158198345E-2
2.075967989E0,1.243007183E-2,-1.564285159E-2,1.721191406E-2,2.637148986E-2
2.086038789E0,2.185410261E-2,4.990100861E-4,-1.749324799E-2,2.799758092E-2
2.096933565E0,4.915177822E-3,1.032072306E-2,-1.691055298E-2,2.041183724E-2
2.106180391E0,1.575493813E-2,2.454102039E-3,6.795883179E-3,1.733276436E-2
2.116251192E0,7.707178593E-3,8.729606867E-3,1.466751099E-2,1.872812101E-2
2.126321992E0,-1.107591391E-2,-1.585489511E-2,-2.592086792E-3,1.951339237E-2
2.136392793E0,-2.930760384E-4,-1.532641053E-2,-4.245758057E-3,1.590632625E-2
2.146799287E0,7.239282131E-3,-3.251403570E-3,8.625030518E-3,1.172049412E-2
2.156534395E0,5.847454071E-3,9.011119604E-3,-4.966735840E-3,1.183475646E-2
2.166605196E0,2.647978067E-2,-1.127600670E-3,-1.580524445E-2,3.085864579E-2
2.176675996E0,1.633399725E-2,4.116803408E-3,-3.124237061E-3,1.713208667E-2
2.186746797E0,-2.721905708E-3,5.144834518E-3,2.764511108E-2,2.825119926E-2
2.196817598E0,6.056666374E-3,-6.388041377E-2,6.896781921E-2,9.420164838E-2
2.206888399E0,-1.092553139E-3,-1.896202266E-1,7.591724396E-2,2.042558492E-1
2.216959200E0,-6.007152796E-2,-2.400139272E-1,1.029014587E-1,2.679626540E-1
2.227091035E0,-2.171939015E-1,-3.454127014E-1,5.322561264E-1,6.706561781E-1
2.237497530E0,-2.411949635E-1,-3.205943108E-1,4.960031509E-1,6.379458035E-1
2.247354707E0,-8.386874199E-2,-3.347913623E-1,9.008026123E-2,3.566982977E-1
2.257486543E0,-1.157950163E-1,-3.554477394E-1,2.978801727E-2,3.750185425E-1
2.267618379E0,-2.588910460E-1,-4.477503896E-1,3.256130219E-1,6.111700460E-1
2.277719698E0,-2.774606347E-1,-5.971422195E-1,4.507408142E-1,7.979539559E-1
2.287851533E0,-2.786255479E-1,-5.616170168E-1,3.552837372E-1,7.206055810E-1
2.298807344E0,-8.476924896E-2,-5.822498798E-1,-1.107606888E-1,5.987225387E-1
2.308115205E0,-2.350348234E-2,-6.189512014E-1,-3.610668182E-1,7.169534508E-1
2.318369112E0,-1.204988360E-1,-5.364130735E-1,-2.807531357E-1,6.173178097E-1
2.328531465E0,-2.333492041E-2,-5.295362473E-1,-4.027452469E-1,6.657003001E-1
2.338663301E0,7.407122850E-2,-4.870014787E-1,-8.377256393E-1,9.718236640E-1
2.348764619E0,1.612831950E-1,-3.689329624E-1,-1.222924232E0,1.287504360E0
2.358896455E0,2.027683258E-1,-1.784237325E-1,-1.274156570E0,1.302468805E0
2.369058809E0,2.347875834E-1,6.310462952E-3,-1.277395248E0,1.298808551E0
2.379160127E0,1.714122295E-1,3.156470358E-1,-1.389308929E0,1.434989375E0
2.389291963E0,6.791967154E-2,6.557515860E-1,-1.241163254E0,1.405385871E0
2.399423799E0,1.171485186E-1,9.052667022E-1,-9.695119858E-1,1.331609953E0
2.409555635E0,2.017592788E-1,1.002385020E0,-8.689165115E-1,1.341826531E0
2.419687471E0,2.870307565E-1,1.046499014E0,-6.258687973E-1,1.252700520E0
